Organisation Name,Datafeed ID,% AVL to Timetables feed matching score,Latest matching report URL
Roselyn Coaches,5152,,
Roselyn Coaches,5234,,
Horseman Coaches,5342,,
Lords Travel,5439,0.0,https://publish.bus-data.dft.gov.uk/org/181/dataset/avl/5439/download-matching-report/
Thornes Independent Ltd,5459,50.0,https://publish.bus-data.dft.gov.uk/org/393/dataset/avl/5459/download-matching-report/
Carlone Buses,5867,89.0,https://publish.bus-data.dft.gov.uk/org/232/dataset/avl/5867/download-matching-report/
Langston & Tasker,6005,100.0,https://publish.bus-data.dft.gov.uk/org/253/dataset/avl/6005/download-matching-report/
Herberts Travel,6013,,
Stantons of Stoke,6014,,
Coatham Coaches,2506,,
A & M Group - Flexibus,6033,100.0,https://publish.bus-data.dft.gov.uk/org/50/dataset/avl/6033/download-matching-report/
Seaford and District Motor Services Ltd,6112,,
Falcon Buses,870,97.0,https://publish.bus-data.dft.gov.uk/org/237/dataset/avl/870/download-matching-report/
First Bus London,6128,,
Ron W Dew & Son Ltd,6184,100.0,https://publish.bus-data.dft.gov.uk/org/178/dataset/avl/6184/download-matching-report/
Compass Travel,6198,97.0,https://publish.bus-data.dft.gov.uk/org/291/dataset/avl/6198/download-matching-report/
Faresaver Buses,6382,92.0,https://publish.bus-data.dft.gov.uk/org/86/dataset/avl/6382/download-matching-report/
Shoreline Suncruisers Ltd,6383,,
Felix Taxis & Co.,6500,100.0,https://publish.bus-data.dft.gov.uk/org/201/dataset/avl/6500/download-matching-report/
Black Cat Travel Ltd,6532,0.0,https://publish.bus-data.dft.gov.uk/org/894/dataset/avl/6532/download-matching-report/
Panther Travel,6688,,
South West Coaches,6815,37.0,https://publish.bus-data.dft.gov.uk/org/507/dataset/avl/6815/download-matching-report/
Ashcroft Travel,6816,86.0,https://publish.bus-data.dft.gov.uk/org/589/dataset/avl/6816/download-matching-report/
Vale Travel,6817,,
GO-Coach Hire Ltd,6979,98.0,https://publish.bus-data.dft.gov.uk/org/329/dataset/avl/6979/download-matching-report/
Safeguard Coaches,7007,98.0,https://publish.bus-data.dft.gov.uk/org/242/dataset/avl/7007/download-matching-report/
Stagecoach,7035,99.0,https://publish.bus-data.dft.gov.uk/org/15/dataset/avl/7035/download-matching-report/
Mikro coaches,7166,0.0,https://publish.bus-data.dft.gov.uk/org/798/dataset/avl/7166/download-matching-report/
Beeline Coaches,7185,,
Greenslades Tours (Exeter) Ltd,7292,100.0,https://publish.bus-data.dft.gov.uk/org/895/dataset/avl/7292/download-matching-report/
TM Travel Ltd,7346,86.0,https://publish.bus-data.dft.gov.uk/org/69/dataset/avl/7346/download-matching-report/
Walsall Community Transport,7385,,
Daniel Trent TA Dan's Coach Travel,7454,,
York Pullman Bus Company,7501,,
Taw & Torridge Coaches Ltd,7576,78.0,https://publish.bus-data.dft.gov.uk/org/512/dataset/avl/7576/download-matching-report/
Reptons Coaches,7654,47.0,https://publish.bus-data.dft.gov.uk/org/240/dataset/avl/7654/download-matching-report/
Transdev,7680,99.0,https://publish.bus-data.dft.gov.uk/org/2/dataset/avl/7680/download-matching-report/
Transdev,7681,98.0,https://publish.bus-data.dft.gov.uk/org/2/dataset/avl/7681/download-matching-report/
Cuckmere Buses,7717,,
Go-Ahead,7719,97.0,https://publish.bus-data.dft.gov.uk/org/10/dataset/avl/7719/download-matching-report/
Go-Ahead,7720,86.0,https://publish.bus-data.dft.gov.uk/org/10/dataset/avl/7720/download-matching-report/
Go-Ahead,7721,27.0,https://publish.bus-data.dft.gov.uk/org/10/dataset/avl/7721/download-matching-report/
Warrington’s Own Buses,7762,95.0,https://publish.bus-data.dft.gov.uk/org/26/dataset/avl/7762/download-matching-report/
Grant Palmer,7767,0.0,https://publish.bus-data.dft.gov.uk/org/108/dataset/avl/7767/download-matching-report/
Redwoods Travel,7798,50.0,https://publish.bus-data.dft.gov.uk/org/223/dataset/avl/7798/download-matching-report/
Charltons,7835,,
First Bus,7836,99.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/7836/download-matching-report/
First Bus,7842,98.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/7842/download-matching-report/
Sullivan Buses,7858,,
PC Coaches of Lincoln,7861,52.0,https://publish.bus-data.dft.gov.uk/org/100/dataset/avl/7861/download-matching-report/
Kinch Buses,7865,100.0,https://publish.bus-data.dft.gov.uk/org/194/dataset/avl/7865/download-matching-report/
Rotala Group of Companies,7869,92.0,https://publish.bus-data.dft.gov.uk/org/53/dataset/avl/7869/download-matching-report/
Rotala Group of Companies,7870,76.0,https://publish.bus-data.dft.gov.uk/org/53/dataset/avl/7870/download-matching-report/
Hunts Coaches,7873,70.0,https://publish.bus-data.dft.gov.uk/org/98/dataset/avl/7873/download-matching-report/
White Bus,7883,97.0,https://publish.bus-data.dft.gov.uk/org/246/dataset/avl/7883/download-matching-report/
First Bus,7889,96.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/7889/download-matching-report/
Sleafordian,7901,95.0,https://publish.bus-data.dft.gov.uk/org/101/dataset/avl/7901/download-matching-report/
Blackburn Private Hire,7918,,
Coastliner Buses,7920,10.0,https://publish.bus-data.dft.gov.uk/org/300/dataset/avl/7920/download-matching-report/
Grayline Coaches,7922,,
Transport Connect,7924,40.0,https://publish.bus-data.dft.gov.uk/org/102/dataset/avl/7924/download-matching-report/
trentbarton,7949,70.0,https://publish.bus-data.dft.gov.uk/org/9/dataset/avl/7949/download-matching-report/
Go-Ahead,7996,97.0,https://publish.bus-data.dft.gov.uk/org/10/dataset/avl/7996/download-matching-report/
Oakleys Coaches,8012,0.0,https://publish.bus-data.dft.gov.uk/org/493/dataset/avl/8012/download-matching-report/
Craig of Campbeltown Ltd,8022,9.0,https://publish.bus-data.dft.gov.uk/org/76/dataset/avl/8022/download-matching-report/
Wright Bros Coaches,8026,,
A Lyles & Son,8032,37.0,https://publish.bus-data.dft.gov.uk/org/292/dataset/avl/8032/download-matching-report/
AC Williams,8039,0.0,https://publish.bus-data.dft.gov.uk/org/104/dataset/avl/8039/download-matching-report/
Minsterley Motors Ltd,8042,61.0,https://publish.bus-data.dft.gov.uk/org/140/dataset/avl/8042/download-matching-report/
Newport Transport Ltd,8048,98.0,https://publish.bus-data.dft.gov.uk/org/696/dataset/avl/8048/download-matching-report/
L & G Coaches,8053,80.0,https://publish.bus-data.dft.gov.uk/org/559/dataset/avl/8053/download-matching-report/
Tanat Valley Coaches,8056,45.0,https://publish.bus-data.dft.gov.uk/org/317/dataset/avl/8056/download-matching-report/
Sargeants Bros. Coaches Ltd,8069,72.0,https://publish.bus-data.dft.gov.uk/org/139/dataset/avl/8069/download-matching-report/
Go-Ahead,8071,90.0,https://publish.bus-data.dft.gov.uk/org/10/dataset/avl/8071/download-matching-report/
Bennetts Travel,8078,,
Ellenvale Coaches,8080,,
Ensign Bus,8082,96.0,https://publish.bus-data.dft.gov.uk/org/18/dataset/avl/8082/download-matching-report/
Phil Haines Coaches,8113,0.0,https://publish.bus-data.dft.gov.uk/org/97/dataset/avl/8113/download-matching-report/
Cardinal Buses,8131,100.0,https://publish.bus-data.dft.gov.uk/org/231/dataset/avl/8131/download-matching-report/
Sullivan Buses,8136,39.0,https://publish.bus-data.dft.gov.uk/org/244/dataset/avl/8136/download-matching-report/
Notts & Derby Traction Co. Limited,8140,82.0,https://publish.bus-data.dft.gov.uk/org/74/dataset/avl/8140/download-matching-report/
Regent Coaches,8158,98.0,https://publish.bus-data.dft.gov.uk/org/82/dataset/avl/8158/download-matching-report/
Aston Coaches,8172,50.0,https://publish.bus-data.dft.gov.uk/org/159/dataset/avl/8172/download-matching-report/
Moving People,8214,39.0,https://publish.bus-data.dft.gov.uk/org/383/dataset/avl/8214/download-matching-report/
Richmonds Coaches,8230,43.0,https://publish.bus-data.dft.gov.uk/org/87/dataset/avl/8230/download-matching-report/
Harrogate Coach Travel Ltd,8262,86.0,https://publish.bus-data.dft.gov.uk/org/30/dataset/avl/8262/download-matching-report/
Mil-Ken Travel,8270,,
HCT Group,8292,,
Whippet Coaches,8295,92.0,https://publish.bus-data.dft.gov.uk/org/114/dataset/avl/8295/download-matching-report/
Pauls Travel,8303,,
Red Rose Travel,8350,82.0,https://publish.bus-data.dft.gov.uk/org/251/dataset/avl/8350/download-matching-report/
Britannia Luxury Coaches,8373,,
Coach Events Services Ltd,8375,66.0,https://publish.bus-data.dft.gov.uk/org/883/dataset/avl/8375/download-matching-report/
First & Last Mile,8377,,
Lee Woad T/A Sweynes,8378,0.0,https://publish.bus-data.dft.gov.uk/org/893/dataset/avl/8378/download-matching-report/
C G Myall & Son,8389,66.0,https://publish.bus-data.dft.gov.uk/org/119/dataset/avl/8389/download-matching-report/
A & J Coaches,8392,0.0,https://publish.bus-data.dft.gov.uk/org/823/dataset/avl/8392/download-matching-report/
Cresta Coaches,8420,0.0,https://publish.bus-data.dft.gov.uk/org/451/dataset/avl/8420/download-matching-report/
Pilkingtonbus,8467,63.0,https://publish.bus-data.dft.gov.uk/org/296/dataset/avl/8467/download-matching-report/
First Bus,8580,94.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/8580/download-matching-report/
Hornsby Travel Ltd,805,0.0,https://publish.bus-data.dft.gov.uk/org/219/dataset/avl/805/download-matching-report/
Royal Buses,8920,,
Gem Travel,9022,0.0,https://publish.bus-data.dft.gov.uk/org/703/dataset/avl/9022/download-matching-report/
First Bus,9088,99.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/9088/download-matching-report/
Ashcrofts Mini Travel,9091,,
Chepstow Classic Buses,9135,,
Rotala Group of Companies,9189,92.0,https://publish.bus-data.dft.gov.uk/org/53/dataset/avl/9189/download-matching-report/
Lakeland Commercials,3960,,
Go-Ahead,9264,97.0,https://publish.bus-data.dft.gov.uk/org/10/dataset/avl/9264/download-matching-report/
Gateshead Central Taxis,9419,59.0,https://publish.bus-data.dft.gov.uk/org/838/dataset/avl/9419/download-matching-report/
Ross Travel,9544,0.0,https://publish.bus-data.dft.gov.uk/org/389/dataset/avl/9544/download-matching-report/
TLC Travel Ltd,9608,76.0,https://publish.bus-data.dft.gov.uk/org/392/dataset/avl/9608/download-matching-report/
Lucketts Travel,9730,,
A-Line Coaches,9752,,
N.N. Cresswell,9754,,
The Green Bus,9795,,
St Ives Bus Co Ltd,9845,0.0,https://publish.bus-data.dft.gov.uk/org/885/dataset/avl/9845/download-matching-report/
First Bus,9950,96.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/9950/download-matching-report/
Yorkshire Travel Group Ltd t/a Yorkshire Buses,10033,,
Stagecoach,10058,98.0,https://publish.bus-data.dft.gov.uk/org/15/dataset/avl/10058/download-matching-report/
Bullocks Coaches,10197,,
The Big Lemon CIC,10220,92.0,https://publish.bus-data.dft.gov.uk/org/228/dataset/avl/10220/download-matching-report/
Wilfreda Luxury Coaches Ltd,10383,90.0,https://publish.bus-data.dft.gov.uk/org/837/dataset/avl/10383/download-matching-report/
Abus,10408,,
Taxico (Aimee's),10447,85.0,https://publish.bus-data.dft.gov.uk/org/58/dataset/avl/10447/download-matching-report/
Bear Buses,10449,100.0,https://publish.bus-data.dft.gov.uk/org/230/dataset/avl/10449/download-matching-report/
Mulleys Motorways,10531,94.0,https://publish.bus-data.dft.gov.uk/org/11/dataset/avl/10531/download-matching-report/
Globe Holidays Ltd,10543,60.0,https://publish.bus-data.dft.gov.uk/org/887/dataset/avl/10543/download-matching-report/
Star Travel,10617,0.0,https://publish.bus-data.dft.gov.uk/org/263/dataset/avl/10617/download-matching-report/
M&R Travel,10823,0.0,https://publish.bus-data.dft.gov.uk/org/408/dataset/avl/10823/download-matching-report/
Grindles Coaches,10824,0.0,https://publish.bus-data.dft.gov.uk/org/474/dataset/avl/10824/download-matching-report/
Irving of Dalston,10830,,
Catteralls,10831,100.0,https://publish.bus-data.dft.gov.uk/org/789/dataset/avl/10831/download-matching-report/
Berry's Coaches,10856,,
First Bus,10878,82.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/10878/download-matching-report/
Hatch Green Coaches,10883,78.0,https://publish.bus-data.dft.gov.uk/org/136/dataset/avl/10883/download-matching-report/
Harpur's Coaches Ltd,10915,,
Stevenson's Travel,11048,100.0,https://publish.bus-data.dft.gov.uk/org/391/dataset/avl/11048/download-matching-report/
Community Transport South Wiltshire,11072,,
Yeos Contracts,11090,,
Somerset County Council (UILTA),11125,,
NIBSbuses Limited,11175,91.0,https://publish.bus-data.dft.gov.uk/org/67/dataset/avl/11175/download-matching-report/
Z&S Transport,11389,88.0,https://publish.bus-data.dft.gov.uk/org/115/dataset/avl/11389/download-matching-report/
First Bus,11393,95.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/11393/download-matching-report/
MD Bus & Coach,11398,13.0,https://publish.bus-data.dft.gov.uk/org/384/dataset/avl/11398/download-matching-report/
Manchester Bus Tours LTD,11400,0.0,https://publish.bus-data.dft.gov.uk/org/889/dataset/avl/11400/download-matching-report/
Henshaw's Executive Travel,11440,,
Aintree Coaches,11447,62.0,https://publish.bus-data.dft.gov.uk/org/534/dataset/avl/11447/download-matching-report/
McCall's Coaches Ltd,11505,,
KEANE TRAVEL LIMITED,11536,,
JW Lodge & Sons,11713,,
Hawkes Coaches,11714,,
Fargo Coaches,11816,0.0,https://publish.bus-data.dft.gov.uk/org/695/dataset/avl/11816/download-matching-report/
A B Coaches Ltd,11827,,
Nottingham Minibuses & Coaches Ltd,11840,40.0,https://publish.bus-data.dft.gov.uk/org/280/dataset/avl/11840/download-matching-report/
Acme Bus Co,11979,,
Martock Minibuses Ltd T/A Vickery’s Coaches,12027,,
Midland Classic,12029,92.0,https://publish.bus-data.dft.gov.uk/org/34/dataset/avl/12029/download-matching-report/
F R Willetts,12054,0.0,https://publish.bus-data.dft.gov.uk/org/467/dataset/avl/12054/download-matching-report/
Discover Dorset,12107,,
Xelabus,12147,,
N.N. Cresswell,12155,,
Masons Travel,12203,0.0,https://publish.bus-data.dft.gov.uk/org/375/dataset/avl/12203/download-matching-report/
Varteg Motors Ltd T/A Phil Anslow Coaches,12251,,
National Express (UK Coach),12319,0.0,https://publish.bus-data.dft.gov.uk/org/631/dataset/avl/12319/download-matching-report/
Woods Coaches Ltd,12409,,
Yarranton Brothers,12411,0.0,https://publish.bus-data.dft.gov.uk/org/173/dataset/avl/12411/download-matching-report/
Steve Keats of Sheffield,12463,0.0,https://publish.bus-data.dft.gov.uk/org/679/dataset/avl/12463/download-matching-report/
Rotala Group of Companies,12521,,
Bland's (Rutland) Ltd,12560,95.0,https://publish.bus-data.dft.gov.uk/org/99/dataset/avl/12560/download-matching-report/
M R D,12564,,
Coopers Tours Ltd,12630,,
Belle Coaches,12642,,
Taylors Travel,12674,12.0,https://publish.bus-data.dft.gov.uk/org/513/dataset/avl/12674/download-matching-report/
Royal Buses,12685,,
LA Travel (Midlands) Ltd T/A South Staffs,12690,40.0,https://publish.bus-data.dft.gov.uk/org/996/dataset/avl/12690/download-matching-report/
Thandi Red Ltd,12780,,
Taunton School Enterprises Ltd,12791,,
