"operator","noc"
"Sheffield City Council (UILTA)","SheffLTA"
"Sheffield Community Transport","SCTP"
"Shires Passenger Transport","SHPT"
"Shoreline Suncruisers Ltd","SSSN"
"Shropshire County Council (LTA)","ShropLTA"
"Silverdale Tours (Nottingham) Ltd","SLVT"
"Skills Motor Coaches Ltd","SKIL"
"Sleafordian","SLEA"
"Slough Borough Council (UILTA)","SloughLTA"
"SMT Bus and Coach Ltd","SMTS"
"Solent Transport","SOL"
"Solus Coaches","SOLU"
"Somerset County Council (UILTA)","ATWE"
"Somerset County Council (UILTA)","MNCT"
"Somerset County Council (UILTA)","RIDL"
"Somerset County Council (UILTA)","SMST"
"Somerset County Council (UILTA)","SSCT"
"Somerset County Council (UILTA)","TTMI"
"Southampton City Council (UILTA)","SOUTHLTA"
"South Beds Dial a Ride","SBDR"
"South Dorset Coaches LTD","SDCL"
"Southend-on-Sea Borough Council (UILTA)","SEOSLTA"
"Southgate & Finchley Coaches Ltd","SOFI"
"South West Coaches","SWCO"
"South Yorkshire Mayoral Combined Authority (UILTA)","SYMCALTA"
"South Yorkshire Passenger Transport Executive","SYPT"
"Squarepeg","YSQU"
"Staffordshire County Council (UILTA)","StaffLTA"
"Stagecoach","ELBG"
"Stagecoach","SBLB"
"Stagecoach","SCCM"
"Stagecoach","SCCU"
"Stagecoach","SCEK"
"Stagecoach","SCEM"
"Stagecoach","SCFI"
"Stagecoach","SCGL"
"Stagecoach","SCHI"
"Stagecoach","SCMY"
"Stagecoach","SCNE"
"Stagecoach","SCNH"
"Stagecoach","SCOX"
"Stagecoach","SCSO"
"Stagecoach","SDVN"
"Stagecoach","SSWL"
"Stagecoach","STWS"
"Stagecoach","SYRK"
"Stanley Travel","STNE"
"Stanley Travel","STNL"
"Stanley Travel","STNT"
"Stantons of Stoke","SOST"
"Star Cabs","STCB"
"Starline","SLNE"
"Starline","STRL"
"Star Travel","SSAH"
"Star Travel","STAR"
"Star Travel","STHL"
"Station Coaches","YSTN"
"Stephensons of Essex","SESX"
"Steve Keats of Sheffield","STEK"
"Stevenson's Travel","STTR"
"Stewarts Coaches Ltd","STEW"
"St Ives Bus Co Ltd","STIV"
"Stoke-on-Trent City Council (UILTA)","SOTLTA"
"Stowmarket Minibus & Coach Hire","MBCH"
"Stringers Pontefract Motorways","SPMW"
"Suffolk County Council (UILTA)","SuffLTA"
"Sullivan Buses","SULV"
"SUNBEAM LUXURY COACHES LTD","SUNB"
"Surrey County Council (UILTA)","SurreyLTA"
"Sussex Coaches","SUSC"
"Swans Travel","SWTL"
"Sweyne Coaches","SWEY"
"Swindon Borough Council (UILTA)","SwinLTA"
"tallyho coaches","TLYH"
"Tanat Valley Coaches","TANV"
"Taunton School Enterprises Ltd","TSCE"
"Taw & Torridge Coaches Ltd","TAWT"
"Taxico (Aimee's)","GAGS"
"Taxico (Aimee's)","TXCO"
"Taylors Coach Travel Ltd","TCAT"
"Taylors Travel","TYSW"
"Tees Valley Combined Authority  (UILTA)","TVLTA"
"Telford Coaches","TELF"
"Tendring Community Transport","TEND"
"Tetley's Motor Services Ltd","TTLY"
"Thames Valley Buses","CTNY"
"Thames Valley Buses","THVB"
"Thandi Red Ltd","EVGC"
"The Big Lemon CIC","LEMB"
"The Big Lemon CIC","LEMN"
"The Big Red Bus","TBRB"
"The Clovelly Estate Co LTD","CLOV"
"Thornes Independent Ltd","THIL"
"Thurrock Council (UILTA)","ThurrLTA"
