line_key,hour_of_day,n_trips,mean_prob_noncompliant,total_hypothetical_exposure
61,8.0,10,0.501365823824582,9.076313048760882
61,9.0,7,0.3404835969342513,4.314683803372373
61,10.0,5,0.3707783832628032,3.356132905644659
61,11.0,4,0.2148979497198252,1.5561340422568928
61,12.0,4,0.22009069643053464,1.593736122406506
61,13.0,8,0.5051084932384441,7.315253797313592
61,14.0,7,0.508157577244851,6.439485742752806
61,15.0,4,0.39534434971308685,2.862795116493813
61,16.0,14,0.6274590303321658,15.902600535418555
61,17.0,18,0.5919667256471259,19.28965858858706
79C,3.0,2,0.29422957364145447,1.0652978690097739
79C,4.0,8,0.2474182573264327,3.5832447299148753
79C,5.0,14,0.3227770575499546,8.180605203016071
79C,6.0,17,0.33616781482973274,10.345697901311544
79C,7.0,19,0.5215306252140496,17.93858394139023
79C,8.0,18,0.44937215398411756,14.643112617682458
79C,9.0,16,0.4525674416378389,13.108651865090927
79C,10.0,13,0.37017344250153916,8.71170880198265
79C,11.0,12,0.3202292565843277,6.956599373989061
79C,12.0,14,0.34355308212728247,8.70716200369257
79C,13.0,18,0.5481164640877622,17.86076649405979
79C,14.0,14,0.6228201088070054,15.785029646541991
79C,15.0,22,0.541245468184503,21.55617467018629
79C,16.0,24,0.5614885312161307,24.3953398038856
79C,17.0,22,0.5342910829500874,21.279202479842294
79C,18.0,20,0.5855343282359844,21.200060360417147
79C,19.0,22,0.44487250867481,17.717930341523264
79C,20.0,14,0.44055226551547344,11.165552418231053
79C,21.0,19,0.5318165216243521,18.292377960855394
79C,22.0,15,0.43292097553549796,11.755866014243699
82A,3.0,2,0.16942157563321492,0.6134136730466082
82A,4.0,8,0.2138959418450208,3.0977564657047134
82A,5.0,11,0.22508984972489043,4.482324936069226
82A,6.0,14,0.4177748689800958,10.588271957151093
82A,7.0,13,0.4821817383965128,11.347726260850628
82A,8.0,14,0.368794669549135,9.346896013795298
82A,9.0,14,0.36113278861696096,9.152709898169865
82A,10.0,10,0.3899668889712477,7.059638680503301
82A,11.0,9,0.28849640239805113,4.700430670499676
82A,12.0,9,0.30461885613895334,4.963111506092518
82A,13.0,10,0.3825654728620243,6.92564955236728
82A,14.0,13,0.5595928061829658,13.169528160113876
82A,15.0,19,0.5774248667629971,19.861124048128197
82A,16.0,18,0.501335646105716,16.33638012524483
82A,17.0,21,0.5685419409220456,21.614069454053098
82A,18.0,16,0.5894189708595464,17.07256727023016
82A,19.0,8,0.3675956049996666,5.3237179365348535
82A,20.0,11,0.4958299030320124,9.873704838870019
82A,21.0,3,0.1363909969913043,0.740733009850393
82A,22.0,4,0.3651351647526523,2.6440422565104753
P10,11.0,3,0.951760196338756,5.168964304401671
P12,7.0,4,0.9510999379647676,6.887171296817887
P14,7.0,3,0.9640000158308978,5.235438181214946
P14,11.0,5,0.9550094605919222,8.644351506389581
P2,7.0,3,0.9445360968911226,5.1297305643063105
P2,11.0,9,0.9533193678026473,15.532296271127416
P5,7.0,11,0.9086991009441665,18.095372334754032
P5,11.0,14,0.9363956038326189,23.732426359357817
X30,5.0,10,0.26372239123747876,4.774212495338801
X30,6.0,4,0.5249677801776033,3.8014333542384535
X30,7.0,6,0.47830837857490255,5.1953400549016795
X30,8.0,4,0.6310620909052271,4.569690886840708
X30,9.0,6,0.2776044165422303,3.015312733965844
X30,10.0,5,0.43231944129507094,3.91317716505578
X30,11.0,4,0.47057876424563094,3.4075878134739175
X30,12.0,5,0.3689472513748284,3.339558255499935
X30,13.0,4,0.2511954416653803,1.8189739759959758
X30,14.0,5,0.3536419085527439,3.2010206087651136
X30,15.0,10,0.49370871484800666,8.937695068002405
X30,16.0,6,0.5824899253261082,6.326950093661203
X30,17.0,6,0.5741081629099722,6.235908188560222
X30,18.0,5,0.504307430154931,4.564782730886497
X4,4.0,2,0.4274830068218784,1.5477599024773088
X4,5.0,7,0.3853782914047611,4.883599348301444
X4,6.0,4,0.2913057007625464,2.109423185521804
X4,7.0,5,0.46175887575255964,4.1796507761570965
X4,8.0,5,0.47163342910913525,4.269031157928323
X4,9.0,4,0.33306992859010565,2.4118492289334315
X4,10.0,4,0.2794145663063302,2.023316272205521
X4,11.0,4,0.22169079976170464,1.6053229024014228
X4,12.0,4,0.22990485966543503,1.6648031266566896
X4,13.0,4,0.23373207680184566,1.692517038682571
X4,14.0,6,0.46262549677200027,5.024994086366346
X4,15.0,4,0.4338416857432872,3.141564714858533
X4,16.0,7,0.3407429551449105,4.317970448253004
X4,17.0,8,0.40992572771694435,5.9367656185546025
X4,18.0,7,0.3235927875613463,4.100639713485727
X4,19.0,11,0.2748422666080926,5.47306929481242
X4,20.0,7,0.2716079388965055,3.441876159016272
X4,21.0,8,0.34489256340403096,4.994920235711711
X4,22.0,5,0.4658891518053453,4.217036330428542
X4,23.0,5,0.32037793254540886,2.8999288259368154
